zipcode,latitude,longitude,city,state,county
94310,37.189396,-121.705327,Palo Alto,CA,Santa Clara
94401,37.573485,-122.32253,San Mateo,CA,San Mateo
94402,37.541886,-122.33063,San Mateo,CA,San Mateo
94403,37.541486,-122.304079,San Mateo,CA,San Mateo
94404,37.553774,-122.269978,San Mateo,CA,San Mateo
94405,37.381144,-122.334825,San Mateo,CA,San Mateo
94406,37.381144,-122.334825,San Mateo,CA,San Mateo
94407,37.381144,-122.334825,San Mateo,CA,San Mateo
94408,37.381144,-122.334825,San Mateo,CA,San Mateo
94409,37.381144,-122.334825,San Mateo,CA,San Mateo
94497,37.534736,-122.32588,San Mateo,CA,San Mateo
94501,37.770563,-122.264779,Alameda,CA,Alameda
94502,37.735088,-122.243067,Alameda,CA,Alameda
94536,37.565285,-121.982721,Fremont,CA,Alameda
94537,37.680181,-121.921498,Fremont,CA,Alameda
94538,37.509453,-121.95832,Fremont,CA,Alameda
94539,37.520339,-121.912568,Fremont,CA,Alameda
94540,37.680181,-121.921498,Hayward,CA,Alameda
94541,37.67513,-121.97412,Hayward,CA,Alameda
94542,37.662552,-122.051179,Hayward,CA,Alameda
94543,37.680181,-121.921498,Hayward,CA,Alameda
94544,37.613883,-122.061673,Hayward,CA,Alameda
94545,37.635482,-122.092324,Hayward,CA,Alameda
94546,37.731229,-122.066373,Castro Valley,CA,Alameda
94550,37.676781,-121.91605,Livermore,CA,Alameda
94551,37.680181,-121.921498,Livermore,CA,Alameda
94552,37.68943,-121.9251,Castro Valley,CA,Alameda
94555,37.570681,-122.063323,Fremont,CA,Alameda
94557,37.680181,-121.921498,Hayward,CA,Alameda
94560,37.534102,-122.025352,Newark,CA,Alameda
94566,37.646081,-121.862128,Pleasanton,CA,Alameda
94568,37.714402,-121.906329,Dublin,CA,Alameda
94577,37.715629,-122.158621,San Leandro,CA,Alameda
94578,37.704429,-122.124225,San Leandro,CA,Alameda
94579,37.688518,-122.147425,San Leandro,CA,Alameda
94580,37.68123,-122.133825,San Lorenzo,CA,Alameda
94586,37.585883,-121.883018,Sunol,CA,Alameda
94587,37.589084,-121.97362,Union City,CA,Alameda
94588,37.688244,-121.898741,Pleasanton,CA,Alameda
94601,37.786027,-122.223779,Oakland,CA,Alameda
94602,37.802777,-122.204578,Oakland,CA,Alameda
94603,37.761778,-122.198428,Oakland,CA,Alameda
94604,37.680181,-121.921498,Oakland,CA,Alameda
94605,37.759322,-122.156626,Oakland,CA,Alameda
94606,37.789927,-122.243979,Oakland,CA,Alameda
94607,37.807967,-122.29878,Oakland,CA,Alameda
94608,37.833876,-122.29548,Emeryville,CA,Alameda
94609,37.834776,-122.26328,Oakland,CA,Alameda
94610,37.811277,-122.238779,Oakland,CA,Alameda
94611,37.847076,-122.222278,Oakland,CA,Alameda
94612,37.809435,-122.27018,Oakland,CA,Alameda
94613,37.781098,-122.186573,Oakland,CA,Alameda
94614,37.727739,-122.204573,Oakland,CA,Alameda
94615,37.806677,-122.30038,Oakland,CA,Alameda
94617,37.807827,-122.271652,Oakland,CA,Alameda
94618,37.843126,-122.240179,Oakland,CA,Alameda
94619,37.783877,-122.167126,Oakland,CA,Alameda
94620,37.680181,-121.921498,Piedmont,CA,Alameda
94621,37.742529,-122.196689,Oakland,CA,Alameda
94622,,,Oakland,CA,Alameda
94623,37.680181,-121.921498,Oakland,CA,Alameda
94624,37.680181,-121.921498,Oakland,CA,Alameda
94625,37.803927,-122.319655,Oakland,CA,Alameda
94626,37.819314,-122.303136,Oakland,CA,Alameda
94627,37.680181,-121.921498,Oakland,CA,Alameda
94643,37.680181,-121.921498,Oakland,CA,Alameda
94649,37.680181,-121.921498,Oakland,CA,Alameda
94659,37.680181,-121.921498,Oakland,CA,Alameda
94660,37.680181,-121.921498,Oakland,CA,Alameda
94661,37.680181,-121.921498,Oakland,CA,Alameda
94662,37.680181,-121.921498,Emeryville,CA,Alameda
94666,37.680181,-121.921498,Oakland,CA,Alameda
94701,37.860576,-122.29673,Berkeley,CA,Alameda
94702,37.864425,-122.28713,Berkeley,CA,Alameda
94703,37.865725,-122.27573,Berkeley,CA,Alameda
94704,37.866975,-122.256729,Berkeley,CA,Alameda
94705,37.85983,-122.242029,Berkeley,CA,Alameda
94706,37.889525,-122.29828,Albany,CA,Alameda
94707,37.892675,-122.27608,Berkeley,CA,Alameda
94708,37.891825,-122.260429,Berkeley,CA,Alameda
94709,37.879825,-122.26553,Berkeley,CA,Alameda
94710,37.873366,-122.30273,Berkeley,CA,Alameda
94712,37.680181,-121.921498,Berkeley,CA,Alameda
94720,37.866825,-122.253582,Berkeley,CA,Alameda
95002,37.189396,-121.705327,Alviso,CA,Santa Clara
95008,37.189396,-121.705327,Campbell,CA,Santa Clara
95009,37.189396,-121.705327,Campbell,CA,Santa Clara
95011,37.189396,-121.705327,Campbell,CA,Santa Clara
95013,37.189396,-121.705327,Coyote,CA,Santa Clara
95014,37.189396,-121.705327,Cupertino,CA,Santa Clara
95015,37.189396,-121.705327,Cupertino,CA,Santa Clara
95020,37.023347,-121.493849,Gilroy,CA,Santa Clara
95021,36.986148,-121.497349,Gilroy,CA,Santa Clara
95026,37.189396,-121.705327,Holy City,CA,Santa Clara
95030,37.107647,-121.842064,Los Gatos,CA,Santa Clara
95031,37.189396,-121.705327,Los Gatos,CA,Santa Clara
95032,37.070923,-121.66186,Los Gatos,CA,Santa Clara
95033,37.189396,-121.705327,Los Gatos,CA,Santa Clara
95035,37.436454,-121.861989,Milpitas,CA,Santa Clara
95036,37.456807,-121.913632,Milpitas,CA,Santa Clara
95037,37.130238,-121.681557,Morgan Hill,CA,Santa Clara
95038,37.225787,-121.617894,Morgan Hill,CA,Santa Clara
95042,37.189396,-121.705327,New Almaden,CA,Santa Clara
95044,37.189396,-121.705327,Redwood Estates,CA,Santa Clara
95046,37.090125,-121.606099,San Martin,CA,Santa Clara
95050,37.189396,-121.705327,Santa Clara,CA,Santa Clara
95051,37.189396,-121.705327,Santa Clara,CA,Santa Clara
95052,37.189396,-121.705327,Santa Clara,CA,Santa Clara
95053,37.189396,-121.705327,Santa Clara,CA,Santa Clara
95054,37.189396,-121.705327,Santa Clara,CA,Santa Clara
95055,37.189396,-121.705327,Santa Clara,CA,Santa Clara
95056,37.189396,-121.705327,Santa Clara,CA,Santa Clara
95070,37.189396,-121.705327,Saratoga,CA,Santa Clara
95071,37.189396,-121.705327,Saratoga,CA,Santa Clara
95101,37.189396,-121.705327,San Jose,CA,Santa Clara
95102,37.189396,-121.705327,San Jose,CA,Santa Clara
95103,37.189396,-121.705327,San Jose,CA,Santa Clara
95106,37.189396,-121.705327,San Jose,CA,Santa Clara
95108,37.189396,-121.705327,San Jose,CA,Santa Clara
95109,37.189396,-121.705327,San Jose,CA,Santa Clara
95110,37.189396,-121.705327,San Jose,CA,Santa Clara
95111,37.267947,-121.800001,San Jose,CA,Santa Clara
95112,37.37004,-121.892093,San Jose,CA,Santa Clara
95113,37.189396,-121.705327,San Jose,CA,Santa Clara
95114,37.189396,-121.705327,San Jose,CA,Santa Clara
95115,37.189396,-121.705327,San Jose,CA,Santa Clara
95116,37.35504,-121.835344,San Jose,CA,Santa Clara
95117,37.189396,-121.705327,San Jose,CA,Santa Clara
95118,37.189396,-121.705327,San Jose,CA,Santa Clara
95119,37.189396,-121.705327,San Jose,CA,Santa Clara
95120,37.38478,-121.895798,San Jose,CA,Santa Clara
95121,37.298592,-121.797977,San Jose,CA,Santa Clara
95122,37.33074,-121.828333,San Jose,CA,Santa Clara
95123,37.189396,-121.705327,San Jose,CA,Santa Clara
95124,37.189396,-121.705327,San Jose,CA,Santa Clara
95125,37.189396,-121.705327,San Jose,CA,Santa Clara
95126,37.189396,-121.705327,San Jose,CA,Santa Clara
95127,37.373903,-121.795913,San Jose,CA,Santa Clara
95128,37.189396,-121.705327,San Jose,CA,Santa Clara
95129,37.189396,-121.705327,San Jose,CA,Santa Clara
95130,37.189396,-121.705327,San Jose,CA,Santa Clara
95131,37.388389,-121.886316,San Jose,CA,Santa Clara
95132,37.433587,-121.829615,San Jose,CA,Santa Clara
95133,37.372239,-121.864265,San Jose,CA,Santa Clara
95134,37.189396,-121.705327,San Jose,CA,Santa Clara
95135,37.272289,-121.723862,San Jose,CA,Santa Clara
95136,37.189396,-121.705327,San Jose,CA,Santa Clara
95137,37.189396,-121.705327,San Jose,CA,Santa Clara
95138,37.258733,-121.745159,San Jose,CA,Santa Clara
95139,37.216394,-121.740059,San Jose,CA,Santa Clara
95140,37.304321,-121.633457,Mount Hamilton,CA,Santa Clara
95141,37.178745,-121.741809,San Jose,CA,Santa Clara
95142,37.189396,-121.705327,San Jose,CA,Santa Clara
95148,37.335928,-121.776861,San Jose,CA,Santa Clara
95150,37.189396,-121.705327,San Jose,CA,Santa Clara
95151,37.187349,-121.75722,San Jose,CA,Santa Clara
95152,37.189396,-121.705327,San Jose,CA,Santa Clara
95153,37.216184,-121.743632,San Jose,CA,Santa Clara
95154,37.189396,-121.705327,San Jose,CA,Santa Clara
95155,37.189396,-121.705327,San Jose,CA,Santa Clara
95156,37.189396,-121.705327,San Jose,CA,Santa Clara
95157,37.189396,-121.705327,San Jose,CA,Santa Clara
95158,37.189396,-121.705327,San Jose,CA,Santa Clara
95159,37.189396,-121.705327,San Jose,CA,Santa Clara
95160,37.189396,-121.705327,San Jose,CA,Santa Clara
95161,37.189396,-121.705327,San Jose,CA,Santa Clara
95164,37.189396,-121.705327,San Jose,CA,Santa Clara
95170,37.189396,-121.705327,San Jose,CA,Santa Clara
95171,37.189396,-121.705327,San Jose,CA,Santa Clara
95172,37.189396,-121.705327,San Jose,CA,Santa Clara
95173,37.189396,-121.705327,San Jose,CA,Santa Clara
95190,37.189396,-121.705327,San Jose,CA,Santa Clara
95191,37.189396,-121.705327,San Jose,CA,Santa Clara
95192,37.189396,-121.705327,San Jose,CA,Santa Clara
95193,37.189396,-121.705327,San Jose,CA,Santa Clara
95194,37.189396,-121.705327,San Jose,CA,Santa Clara
95196,37.189396,-121.705327,San Jose,CA,Santa Clara
